,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
2288,002845,同兴达,-3.511,14.84,15.18,15.38,14.6,15.38,1365000.0,2.10854,20329784.0,19.273,2.822,300937.344512,96069.250928
2289,002843,泰嘉股份,-1.585,11.8,11.96,12.17,11.43,11.99,578789.0,0.68903,6803880.0,31.892,2.5789999999999997,165200.0,99120.0
2290,002842,翔鹭钨业,-2.627,15.57,15.95,16.09,15.03,15.99,743858.0,1.03565,11638702.0,22.243,3.144,264690.0,111831.525
2291,002841,视源股份,1.335,59.96,59.17,60.25,58.75,59.17,548934.0,0.8245100000000001,32875307.0,34.86,12.227,3932448.65864,399197.13104
2292,002840,华统股份,-4.935,13.1,13.68,13.74,12.5,13.78,2185314.0,1.48928,28806383.0,19.265,2.817,351080.0655,192224.26218
2293,002839,张家港行,-2.151,5.46,5.58,5.6,5.38,5.58,8884800.0,1.04106,48819965.0,12.698,1.103,986909.55909,465974.957994
2294,002838,道恩股份,-2.725,19.28,19.78,19.78,18.8,19.82,383000.0,0.50858,7426376.0,26.054,5.378,485856.0,145192.582368
2295,002837,英维克,-7.615,16.62,17.99,17.99,16.22,17.99,4443523.0,6.4900400000000005,74950296.0,38.651,3.392,357350.465868,113791.78836
2296,002836,新宏泽,-6.269,12.56,12.99,13.13,12.19,13.4,3151880.0,5.59161,40045672.0,41.867,4.876,200960.0,70798.208
2297,002835,同为股份,-4.161,6.91,7.15,7.23,6.91,7.21,1147704.0,1.3586,8049639.0,76.778,2.315,152201.179509,58373.721706
2298,002833,弘亚数控,-2.303,36.9,37.54,37.64,36.0,37.77,393142.0,0.6840200000000001,14515932.0,21.086,4.341,499199.067,212083.119
2299,002832,比音勒芬,-1.311,33.13,33.85,33.85,32.7,33.57,293779.0,0.37188000000000004,9761915.0,19.604,3.896,600776.107,261721.3679
2300,002831,裕同科技,0.796,44.33,44.1,44.75,43.61,43.98,943545.0,0.7897700000000001,41722770.0,19.028,3.338,1773244.33,529616.268467
2301,002830,名雕股份,-5.674,14.63,15.51,15.51,14.18,15.51,1025502.0,2.57405,15260523.0,37.513,3.211,195076.42,58285.92
2302,002829,星网宇达,-2.626,17.06,17.38,17.42,16.66,17.52,555398.0,0.9070600000000001,9458513.0,41.61,3.182,273904.7828,104459.678266
2303,002828,贝肯能源,-3.524,10.95,11.28,11.33,10.83,11.35,1085780.0,1.09777,11969485.0,18.25,2.328,224012.91,108303.54825
2304,002827,高争民爆,-1.781,13.79,14.04,14.04,13.62,14.04,860200.0,1.36223,11857890.0,22.983,3.175,253736.0,87079.0235
2305,002826,易明医药,-4.429,9.71,9.98,9.98,9.5,10.16,1086700.0,0.8252200000000001,10592357.0,30.344,3.05,184218.12,127866.443778
2306,002825,纳尔股份,-3.831,14.56,15.16,15.18,14.15,15.14,838860.0,2.04983,12272335.0,40.444,3.354,204251.65488,59584.490784
2307,002824,和胜股份,-4.102,8.65,9.0,9.0,8.4,9.02,637750.0,0.8623700000000001,5561931.0,23.385,2.051,158833.9815,63969.825075
2308,002823,凯中精密,-3.382,10.0,10.3,10.38,9.51,10.35,884041.0,0.88446,8881298.0,18.868,2.223,291313.442,99953.154
2309,002822,中装建设,-1.544,5.1,5.15,5.19,5.05,5.18,1616800.0,0.5282600000000001,8275588.0,18.889,1.431,306000.0,156090.6
2310,002821,凯莱英,0.282,71.05,71.06,72.39,70.5,70.85,584368.0,0.4832,41809439.0,47.053,7.085,1640206.564885,859266.3373
2311,002820,桂发祥,-1.035,12.43,12.56,12.7,12.16,12.56,501280.0,0.40404,6233550.0,17.264,2.377,254566.4,154214.470564
2312,002819,东方中科,-2.157,20.41,20.85,20.96,20.26,20.86,207800.0,0.4325,4274717.0,101.391,5.124,247171.594462,98063.251429
2313,002818,富森美,-1.536,21.15,21.41,21.54,21.0,21.48,430766.0,0.49031,9123697.0,14.291,2.175,941168.655,185813.78184
2314,002817,黄山胶囊,-1.802,17.44,17.72,17.93,17.16,17.76,246000.0,0.5922000000000001,4327519.0,32.296,2.205,151152.48,72445.76
2315,002816,和科达,-2.159,17.22,17.45,17.59,16.9,17.6,336300.0,0.5873200000000001,5794606.0,107.625,3.2640000000000002,172200.0,98601.816432
2316,002815,崇达技术,-2.036,12.99,13.23,13.27,12.81,13.26,2109520.0,0.9609500000000001,27454473.0,11.998,4.129,1079781.874542,285161.023902
2317,002813,路畅科技,-5.56,22.76,24.05,24.05,21.69,24.1,783800.0,2.61267,18103620.0,113.8,4.373,273120.0,68280.0
2318,002812,恩捷股份,-0.968,48.08,49.0,49.05,47.56,48.55,485200.0,0.38186000000000003,23384793.0,41.809,6.324,2278356.920896,610919.7454
2319,002811,亚泰国际,-3.308,14.03,14.4,14.49,13.88,14.51,1163277.0,2.58506,16460078.0,23.383,1.853,252540.0,63135.0
2320,002810,山东赫达,-3.005,17.11,17.76,17.76,16.8,17.64,1371478.0,2.23396,23606652.0,35.3,2.768,203718.504,105042.006292
2321,002809,红墙股份,-6.516,14.49,15.3,15.37,14.25,15.5,1060250.0,1.7472400000000001,15582067.0,21.627,1.803,183130.2711,87927.3486
